chr1_2500000	chr4_154500000
chr1_3500000	chr4_153500000
chr1_5500000	chr4_152500000
chr1_6500000	chr4_151500000
chr1_7500000	chr4_150500000
chr1_8500000	chr4_149500000
chr1_10500000	chr4_148500000
chr1_11500000	chr4_147500000
chr1_12500000	chr4_144500000
chr1_14500000	chr4_142500000
chr1_18500000	chr4_139500000
chr1_21500000	chr4_137500000
chr1_23500000	chr4_136500000
chr1_25500000	chr4_134500000
chr1_27500000	chr4_132500000
chr1_29500000	chr4_131500000
chr1_31500000	chr4_130500000
chr1_32500000	chr4_129500000
chr1_33500000	chr4_128500000
chr1_34500000	chr4_127500000
chr1_36500000	chr4_126500000
chr1_37500000	chr4_125500000
chr1_38500000	chr4_124500000
chr1_39500000	chr4_123500000
chr1_40500000	chr4_122500000
chr1_41500000	chr4_120500000
chr1_42500000	chr4_119500000
chr1_43500000	chr4_118500000
chr1_44500000	chr4_117500000
chr1_45500000	chr4_116500000
chr1_46500000	chr4_115500000
chr1_48500000	chr4_114500000
chr1_50500000	chr4_109500000
chr1_52500000	chr4_108500000
chr1_53500000	chr4_107500000
chr1_54500000	chr4_106500000
chr1_56500000	chr4_105500000
chr1_57500000	chr4_104500000
chr1_58500000	chr4_103500000
chr1_60500000	chr4_96500000
chr1_61500000	chr4_97500000
chr1_63500000	chr4_99500000
chr1_72500000	chr3_156500000
chr1_76500000	chr3_153500000
chr1_77500000	chr3_152500000
chr1_81500000	chr3_149500000
chr1_82500000	chr3_148500000
chr1_83500000	chr3_147500000
chr1_84500000	chr3_146500000
chr1_85500000	chr3_145500000
chr1_88500000	chr3_143500000
chr1_90500000	chr5_106500000
chr1_93500000	chr5_108500000
chr1_94500000	chr3_121500000
chr1_97500000	chr3_119500000
chr1_98500000	chr3_118500000
chr1_100500000	chr3_116500000
chr1_101500000	chr3_115500000
chr1_107500000	chr3_109500000
chr1_109500000	chr3_108500000
chr1_110500000	chr3_107500000
chr1_111500000	chr3_106500000
chr1_112500000	chr3_105500000
chr1_113500000	chr3_104500000
chr1_114500000	chr3_103500000
chr1_115500000	chr3_102500000
chr1_116500000	chr3_101500000
chr1_117500000	chr3_100500000
chr1_118500000	chr3_99500000
chr1_150500000	chr3_95500000
chr1_151500000	chr3_94500000
